Paper,Community of Focus,Citation,Code
A3,Blind and/or Visual Impaired,"In a positive example, {P2} noted that, because of his supportive coworkers, relying on sighted assistance is a perfectly acceptable workaround for inaccessibility in other sources.",Non-Impaired Help
A3,Blind and/or Visual Impaired,"e. For example, {P9} described having “weekly meetings with my boss [because] I don’t know much of anything about [this API]...because he knows a lot more [about it] than I do.” {P3} used others as information sources to find mathematical information specific to the scientific field in which his application was being used. {P7} used designers working on his team to find information specific to their job role, including “how the different flows work...and the reasoning behind it.”",Non-Impaired Help
A3,Blind and/or Visual Impaired,"But, our findings suggest that whether employing the vision of sighted colleagues as a workaround was perceived by DWVI as an embarrassing act of reliance or a typical team collaboration depended upon the knowledge and empathy of their sighted teammate",Non-Impaired Help
A3,Blind and/or Visual Impaired,"Notably, participants described several unique strategies for working around accessibility barriers arising during information seeking in development. Five participants {P1, P3, P6, P7, P8} described sharing and receiving information specifc to accessibility in development from other DWVI, who they knew personally {P1, P8} or contacted through DWVI mailing lists",Sharing Among Impaired Professionals
A3,Blind and/or Visual Impaired,"Additionally, five participants {P1, P3, P4, P6, P8} used custom accessibility setups which they developed themselves {P3, P4, P8} or had been developed by personal contacts who are also DWVI {P1, P6, P8}",Develop their own solutions
A13,Blind and/or Visual Impaired,"For learning how to control the coding environments (e.g., git/GitHub, VSCode), Seo compared his experiences of navigating GUI features with screen readers and CLI workarounds. He noted, “I like to use CLI instead of GUI because typing commands and getting results are much quicker than navigating GUI elements. Of course, the learning curve is steep for CLI since I have to learn and memorize each command. Usually, I make my own command-line cheatsheets for each software I use.” ",Adapt work dinamics
A61,Blind and/or Visual Impaired,"They also note the lack of development tool usage by DWVI - most of them used text editors instead of IDEs, printf debugging instead of debuggers, used temporary text bufers for editing code outside the IDE, and preferred languages like Python primarily due to the availability of the interpreter",Tool Exchange or Special Configuration
A61,Blind and/or Visual Impaired,"Due to the difculties navigating in the terminal, users reported copying the terminal contents to a notepad to review the content. This workaround makes it easier to perform tasks like searching for a keyword.",Tool Exchange or Special Configuration
A146,Blind and/or Visual Impaired,"In another workaround, collaborators work on their respective computers with the BVI developer sharing their screen using a video calling application to enable the sighted developer to follow them",Adapt work dinamics
A214,Blind and/or Visual Impaired,"For example, P7 found an alternative way to access UML digammas. However, they did not provide detailed information on the approach used. Other comments include: ”I have found alternative ways to access UML. ABlind and/or Visual Impaired person to perform a software engineering job must know their access tech in side out.” (Participant 7)",Develop their own solutions
